Amplitude	Frequency	Hardness
0.48	692.32	171.05
0.48	692.32	168.18
0.48	692.32	158.43
0.48	964.48	168.75
0.48	964.48	167.62
0.48	964.48	175.19
0.48	964.48	167.05
0.48	964.48	177.62
0.48	964.48	161.59
0.48	964.48	173.40
0.48	964.48	173.99
0.48	964.48	178.24
0.48	964.48	172.81
0.48	964.48	182.00
0.48	964.48	175.19
0.48	964.48	181.37
0.48	964.48	179.48
0.48	964.48	183.93
0.48	964.48	175.19
0.48	964.48	172.22
0.48	964.48	185.89
0.48	964.48	175.79
0.48	964.48	173.99
0.56	0.00	161.59
0.56	0.00	161.06
0.56	0.00	170.47
0.56	0.00	164.29
0.56	0.00	178.86
0.56	0.00	151.43
0.56	0.00	175.19
0.56	0.00	158.95
0.56	0.00	160.53
0.56	0.00	185.89
0.56	0.00	162.12
0.56	0.00	165.94
0.56	0.00	166.50
0.56	0.00	158.95
0.56	0.00	159.47
0.56	280.11	178.24
0.56	280.11	163.20
0.56	280.11	168.75
0.56	280.11	167.05
0.56	280.11	147.16
0.56	280.11	153.38
0.56	280.11	166.50
0.56	280.11	164.29
0.56	280.11	160.00
0.56	280.11	161.59
0.56	280.11	180.11
0.56	280.11	161.59
0.56	280.11	160.00
0.56	280.11	164.29
0.56	280.11	156.38
0.56	585.69	151.91
0.56	585.69	157.92
0.56	585.69	151.91
0.56	585.69	169.32
0.56	585.69	160.00
0.56	585.69	164.83
0.56	585.69	150.94
0.56	585.69	164.29
0.56	585.69	150.94
0.56	585.69	157.40
0.56	585.69	167.05
0.56	585.69	152.40
0.56	585.69	151.91
0.56	585.69	157.40
0.56	585.69	158.95
0.56	585.69	157.40
0.56	585.69	154.87
0.56	585.69	149.51
0.56	585.69	161.59
0.56	585.69	149.51
0.56	585.69	157.40
0.56	585.69	167.05
0.56	585.69	151.43
0.56	585.69	149.51
0.56	585.69	158.95
0.56	585.69	162.12
0.56	585.69	156.89
0.56	585.69	152.89
0.56	980.39	152.40
0.56	980.39	158.43
0.56	980.39	174.59
0.56	980.39	164.83
0.56	980.39	161.06
0.56	980.39	162.66
0.56	980.39	157.92
0.56	980.39	152.89
0.56	980.39	163.20
0.56	980.39	157.92
0.56	980.39	155.37
0.56	980.39	158.43
0.56	980.39	157.92
0.56	980.39	154.87
0.56	980.39	168.75
0.56	980.39	157.40
0.56	980.39	159.47
0.56	980.39	160.00
0.56	980.39	161.06
0.56	980.39	152.40
0.56	980.39	169.32
0.56	980.39	152.89
0.56	980.39	157.40
0.56	980.39	158.95
0.56	980.39	153.88
0.56	980.39	169.32
0.56	980.39	156.38
0.56	980.39	157.40
0.56	980.39	160.53
0.56	980.39	163.20
0.56	980.39	151.43
0.56	980.39	173.40
0.56	980.39	150.94
